food_name,calories_kcal,fat_g,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,carbs_g,sugars_g,protein_g,fiber_g,cholesterol_mg,sodium_mg,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,copper_mg,iron_mg,magnesium_mg,manganese_mg,phosphorus_mg,potassium_mg,selenium_mcg,zinc_mg,nutrient_density_score,calculated_calories,calorie_diff_pct,calorie_consistent,food_category,protein_score,fiber_score,health_score
cream cheese,51,5.0,2.9,1.3,0.2,0.8,0.5,0.9,0.0,14.6,0.016,7.6,0.2,0.033,0.064,0.092,0.097,0.084,0.052,0.096,0.004,0.0,0.0,0.1,0.008,14.1,0.082,0.027,1.3,0.091,15.5,19.1,0.039,7.07,51.8,1.5686274509803866,True,Cheese,4.5,0.0,42.64992000000001
neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,7.8,0.0,62.9,0.3,53.6,0.2,0.099,0.079,0.09,0.1,0.2,0.5,0.078,0.0,0.0,0.3,0.045,99.5,0.034,0.1,8.5,0.088,117.3,129.2,0.054,0.7,130.1,218.2,1.4883720930232505,True,Cheese,39.0,0.0,31.698500000000003
requeijao cremoso light catupiry,49,3.6,2.3,0.9,0.0,0.9,3.4,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,39.2,19.999999999999996,True,Other,4.0,1.0,44.5
ricotta cheese,30,2.0,1.3,0.5,0.002,1.5,0.091,1.5,0.0,9.8,0.017,14.7,0.075,0.019,0.079,0.091,0.027,0.041,0.016,0.007,0.006,0.0,0.001,0.011,0.097,41.2,0.097,0.096,4.0,0.024,30.8,43.8,0.035,5.196,30.0,0.0,True,Cheese,7.5,0.0,48.349914999999996
cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9,1.2,0.0,8.1,0.046,10.0,0.016,0.08,0.062,0.049,0.026,0.08,0.1,0.003,0.0,0.036,0.009,0.019,22.2,0.072,0.008,1.2,0.098,22.8,37.1,0.034,0.053,27.007,30.299999999999997,0.9999999999999905,True,Cheese,6.0,0.0,47.59977000000001
cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1.0,2.8,0.0,2.2,0.1,12.9,0.063,0.02,0.089,0.092,0.021,0.025,0.2,0.038,0.0,0.0,0.049,0.059,63.2,0.039,0.053,4.0,0.028,94.1,50.0,0.013,0.3,67.679,18.599999999999998,2.105263157894748,True,Cheese,14.0,0.0,53.8995
gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,8.3,0.0,30.8,0.2,9.3,0.061,0.021,0.072,0.078,0.004,0.043,0.2,0.051,0.0,0.034,0.035,0.048,283.1,0.033,0.094,10.1,0.002,169.4,22.7,0.079,1.1,300.694,115.5,0.43103448275862066,True,Cheese,41.5,0.0,46.549
cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,6.4,0.0,27.7,0.2,10.3,0.054,0.031,0.005,0.073,0.1,0.01,0.1,0.005,0.0,0.06,0.2,0.035,198.8,0.099,0.077,7.6,0.063,127.4,21.3,0.009,1.0,215.53,112.9,0.08849557522123391,True,Cheese,32.0,0.0,43.699
parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046,6.4,0.0,12.2,0.2,5.4,0.067,0.062,0.099,0.059,0.057,0.039,0.06,0.066,0.0,0.095,0.018,0.021,213.1,0.051,0.1,7.9,0.073,124.9,16.6,0.045,0.5,224.777,68.5,3.5211267605633805,True,Cheese,32.0,0.0,51.499
romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088,1.6,0.0,5.2,0.008,1.5,0.064,0.058,0.026,0.045,0.059,0.055,0.025,0.029,0.0,0.073,0.078,0.004,53.2,0.046,0.03,2.1,0.002,38.0,4.3,0.087,0.1,56.38,18.900000000000002,0.526315789473673,True,Cheese,8.0,0.0,49.699960000000004
parmesan cheese grated,21,1.4,0.8,0.4,0.036,0.7,0.075,1.4,0.0,4.3,0.043,1.1,0.017,0.003,0.015,0.091,0.081,0.077,0.057,0.077,0.007,0.0,0.002,0.014,0.012,42.7,0.094,0.094,1.7,0.026,31.4,9.0,0.038,3.745,21.0,0.0,True,Cheese,7.0,0.0,49.699785000000006
port salut cheese,465,37.2,22.0,12.3,1.0,0.8,0.8,31.4,0.0,162.4,0.7,60.0,0.4,0.012,0.035,0.067,0.3,0.019,0.3,0.08,0.0,0.057,0.3,0.094,858.0,0.062,0.6,31.7,0.095,475.2,179.5,0.015,3.4,928.4,463.6,0.3010752688171994,True,Cheese,100.0,0.0,49.9965
swiss cheese,98,7.7,4.6,2.0,0.3,0.4,0.0,6.7,0.0,23.3,0.057,9.4,0.069,0.008,0.027,0.008,0.018,0.058,0.1,0.036,0.0,0.016,0.2,0.056,222.5,0.026,0.024,8.3,0.062,143.5,18.0,0.031,1.1,237.396,97.7,0.3061224489795889,True,Cheese,33.5,0.0,46.249715
goat cheese hard,128,10.1,7.0,2.3,0.2,0.6,0.6,8.6,0.0,29.7,0.076,8.2,0.1,0.071,0.035,0.093,0.3,0.7,0.1,0.007,0.0,0.044,0.083,0.039,253.3,0.2,0.5,15.3,0.088,206.3,13.6,0.082,0.4,273.2,127.69999999999999,0.23437500000000888,True,Cheese,43.0,0.0,41.89962
gouda cheese,100,7.7,4.9,2.2,0.2,0.6,0.6,7.0,0.0,31.9,0.2,11.6,0.053,0.016,0.042,0.01,0.009,0.081,0.011,0.053,0.0,0.04,0.026,0.074,196.0,0.013,0.06,8.1,0.08,152.9,33.9,0.05,1.1,211.424,99.69999999999999,0.30000000000001137,True,Cheese,35.0,0.0,45.799
pepper jack cheese lucerne,75,6.0,4.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,74.0,1.3333333333333335,True,Cheese,25.0,25.0,50.5
caraway cheese,106,8.3,5.3,2.3,0.2,0.9,0.0,7.1,0.0,26.3,0.2,11.1,0.014,0.077,0.066,0.038,0.1,0.04,0.022,0.086,0.0,0.0,0.0,0.0,190.5,0.007,0.2,6.2,0.002,138.7,26.3,0.009,0.8,207.072,106.7,0.6603773584905688,True,Cheese,35.5,0.0,44.749
tilsit cheese,136,10.4,6.7,2.9,0.3,0.8,0.0,9.8,0.0,40.8,0.3,17.1,0.057,0.036,0.072,0.058,0.1,0.068,0.1,0.036,0.0,0.0,0.0,0.0,280.0,0.033,0.01,5.2,0.086,200.0,26.0,0.026,1.4,301.069,136.0,0.0,True,Cheese,49.0,0.0,44.5985
goat cheese,103,8.4,5.8,1.9,0.2,0.009,0.031,6.1,0.0,22.4,0.1,12.9,0.1,0.013,0.011,0.086,0.2,0.3,0.03,0.087,0.0,0.078,0.082,0.046,84.3,0.2,0.5,8.2,0.008,106.1,44.7,0.005,0.2,99.494,100.036,2.8776699029126203,True,Cheese,30.5,0.0,41.7495
brick cheese,111,8.9,5.6,2.6,0.2,0.8,0.2,7.0,0.0,28.2,0.2,12.3,0.016,0.042,0.059,0.074,0.1,0.085,0.086,0.033,0.0,0.042,0.072,0.064,202.2,0.093,0.1,7.2,0.085,135.3,40.8,0.056,0.8,219.002,111.30000000000001,0.2702702702702805,True,Cheese,35.0,0.0,43.699
asadero cheese,402,31.9,20.3,9.1,1.0,3.2,3.2,25.5,0.0,118.7,0.7,47.6,0.098,0.034,0.005,0.043,0.3,0.2,0.3,0.024,0.0,0.071,0.3,0.02,746.9,0.067,0.6,29.4,0.024,500.6,97.2,0.096,3.4,808.175,401.9,0.02487562189055292,True,Cheese,100.0,0.0,49.9965
camembert cheese,90,7.3,4.6,2.1,0.2,0.1,0.1,5.9,0.0,21.6,0.3,15.5,0.091,0.054,0.043,0.034,0.1,0.2,0.4,0.017,0.0,0.093,0.014,0.024,116.4,0.046,0.063,6.0,0.075,104.1,56.1,0.035,0.7,129.826,89.7,0.3333333333333302,True,Cheese,29.5,0.0,45.048500000000004
provolone cheese reduced fat,310,19.9,12.8,5.5,0.6,4.0,0.6,27.9,0.0,62.2,1.0,57.2,0.2,0.05,0.063,0.079,0.4,0.2,0.5,0.061,0.0,0.027,0.2,0.076,854.3,0.077,0.6,31.6,0.096,560.5,155.9,0.054,3.6,906.9,306.7,1.0645161290322618,True,Cheese,100.0,0.0,49.995000000000005
roquefort cheese,314,26.0,16.4,7.2,1.1,1.7,0.0,18.3,0.0,76.5,1.5,33.5,0.2,0.092,0.037,0.002,0.5,0.6,1.5,0.1,0.0,0.0,0.0,0.0,562.7,0.005,0.5,25.5,0.036,333.2,77.4,0.081,1.8,609.4,314.0,0.0,True,Cheese,91.5,0.0,47.4425
queso blanco cheese,366,28.7,16.1,7.6,1.4,3.0,2.1,24.0,0.0,82.6,0.8,57.5,0.2,0.097,0.0,0.022,0.3,0.038,0.5,0.1,0.0,0.05,0.6,0.061,814.2,0.098,0.2,34.2,0.067,551.1,148.7,0.016,3.6,870.3,366.3,0.08196721311475721,True,Cheese,100.0,0.0,49.996
queso seco cheese,315,23.6,13.3,6.2,1.2,2.0,0.5,23.8,0.0,75.7,1.8,40.9,0.2,0.038,0.0,0.01,0.2,0.027,0.4,0.049,0.0,0.032,0.5,0.045,641.2,0.091,0.2,26.2,0.083,460.8,112.5,0.048,3.2,691.0,315.6,0.1904761904761977,True,Cheese,100.0,0.0,49.991
goat cheese soft,75,6.0,4.1,1.4,0.1,0.0,0.3,5.2,0.0,13.0,0.1,17.2,0.049,0.057,0.037,0.012,0.1,0.1,0.2,0.036,0.0,0.092,0.01,0.093,39.6,0.2,0.5,4.5,0.026,72.4,7.4,0.014,0.3,51.311,74.8,0.2666666666666705,True,Cheese,26.0,0.0,45.4995
mozzarella cheese,90,6.6,4.2,2.0,0.2,0.7,0.0,6.7,0.0,23.7,0.1,15.0,0.037,0.088,0.088,0.081,0.071,0.013,0.089,0.016,0.0,0.044,0.001,0.008,151.5,0.057,0.1,6.0,0.019,106.2,22.8,0.047,0.9,165.648,89.0,1.1111111111111112,True,Cheese,33.5,0.0,47.4495
chihuahua cheese,494,39.2,24.9,11.1,1.2,7.3,7.3,28.5,0.0,138.6,0.8,51.7,0.007,0.053,0.031,0.082,0.3,0.2,0.4,0.061,0.0,0.089,0.3,0.011,859.3,0.03,0.6,30.4,0.047,583.4,68.6,0.071,4.6,934.983,496.0,0.4048582995951417,True,Cheese,100.0,0.0,49.996
limburger cheese,98,8.2,5.0,2.6,0.1,0.1,0.1,6.0,0.0,27.0,0.2,14.5,0.1,0.021,0.095,0.082,0.2,0.009,0.4,0.002,0.0,0.004,0.055,0.046,149.1,0.036,0.011,6.3,0.054,117.9,38.4,0.029,0.6,163.575,98.19999999999999,0.20408163265304963,True,Cheese,30.0,0.0,43.999
muenster cheese,486,39.7,25.2,11.5,0.9,1.5,1.5,30.9,0.0,126.7,0.8,55.1,0.4,0.016,0.009,0.085,0.4,0.1,0.3,0.072,0.0,0.065,0.3,0.056,946.4,0.008,0.5,35.6,0.093,617.8,176.9,0.059,3.7,1019.4,486.9,0.1851851851851805,True,Cheese,100.0,0.0,49.996
queso fresco cheese,365,29.1,15.8,7.3,1.3,3.6,2.8,22.1,0.0,84.2,0.9,62.7,0.3,0.019,0.029,0.076,0.2,0.05,0.4,0.06,0.0,0.055,0.5,0.087,690.5,0.025,0.2,29.3,0.053,469.7,157.4,0.073,3.1,745.8,364.70000000000005,0.08219178082190534,True,Cheese,100.0,0.0,49.99550000000001
brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1,6.2,0.0,30.0,0.2,14.5,0.014,0.04,0.025,0.073,0.2,0.1,0.2,0.001,0.0,0.068,0.078,0.056,55.2,0.015,0.2,6.0,0.047,56.4,45.6,0.04,0.7,70.096,99.9,0.09999999999999432,True,Cheese,31.0,0.0,43.699
pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9,31.0,0.1,131.6,2.0,54.7,0.3,0.023,0.043,0.016,0.5,0.1,0.7,0.011,3.2,0.099,0.4,0.086,859.6,0.032,0.6,30.8,0.031,1041.6,226.8,0.089,4.2,940.9,526.9,0.36190476190475757,True,Cheese,100.0,1.0,50.19
mexican cheese,316,21.7,13.0,5.6,0.8,3.8,0.6,27.7,0.0,69.4,0.9,54.0,0.2,0.091,0.027,0.05,0.3,0.017,0.0,0.04,0.0,0.087,0.2,0.073,1283.5,0.034,0.1,39.2,0.0,653.0,104.2,0.006,4.8,1337.0,321.29999999999995,1.6772151898734033,True,Cheese,100.0,0.0,49.99550000000001
feta cheese,80,6.4,4.0,1.4,0.2,1.2,0.0,4.3,0.0,26.7,0.3,16.6,0.014,0.063,0.021,0.076,0.3,0.3,0.3,0.1,0.0,0.06,0.036,0.057,147.9,0.012,0.2,5.7,0.063,101.1,18.6,0.005,0.9,160.058,79.6,0.5000000000000071,True,Cheese,21.5,0.0,44.4485
mozzarella cheese fat free,159,0.0,0.0,0.0,0.0,4.0,1.7,35.8,2.0,20.3,0.8,68.0,0.1,0.079,0.011,0.025,0.3,0.1,0.0,0.055,0.0,0.0,0.2,0.018,1085.9,0.077,0.4,37.3,0.0,741.3,119.8,0.035,4.4,1128.2,159.2,0.12578616352200545,True,Cheese,100.0,20.0,83.99600000000001
provolone cheese,463,35.1,22.5,9.8,1.0,2.8,0.7,33.8,0.0,91.1,1.2,54.1,0.3,0.013,0.017,0.005,0.4,0.2,0.6,0.052,0.0,0.028,0.3,0.001,997.9,0.011,0.7,37.0,0.033,654.7,182.2,0.017,4.3,1070.6,462.3,0.15118790496760015,True,Cheese,100.0,0.0,49.994
anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,28.3,0.0,138.6,1.5,50.2,0.098,0.069,0.081,0.077,0.3,0.088,0.3,0.011,0.0,0.032,0.3,0.078,897.6,0.058,0.6,37.0,0.067,586.1,114.8,0.095,3.9,972.205,494.0,0.40650406504065045,True,Cheese,100.0,0.0,49.99250000000001
honey,64,0.0,0.0,0.0,0.0,17.3,17.2,0.08,0.025,0.0,0.011,3.6,0.0,0.0,0.022,0.0,0.003,0.012,0.03,0.004,0.1,0.0,0.0,0.0,1.3,0.061,0.017,0.4,0.098,0.8,10.9,0.021,0.008,18.892,69.52,8.624999999999993,True,Other,0.4,0.25,50.169945
apple butter,35,0.063,0.038,0.066,0.064,8.5,7.1,0.045,0.3,0.0,0.003,11.3,0.0,0.078,0.02,0.0,0.053,0.092,0.005,0.057,0.1,0.0,0.06,0.075,2.8,0.085,0.025,0.8,0.093,1.6,18.2,0.078,0.095,11.836,34.747,0.7228571428571431,True,Other,0.22499999999999998,3.0,50.553485
fruit jam,56,0.095,0.021,0.065,0.0,13.8,9.7,0.0,0.2,0.0,0.052,6.1,0.0,0.083,0.076,0.0,0.024,0.07,0.045,0.037,1.8,0.0,0.062,0.0,4.0,0.022,0.07,0.8,0.002,3.8,15.4,0.054,0.03,19.919,56.055,0.0982142857142852,True,Other,0.0,2.0,50.336740000000006
chocolate hazelnut spread,100,5.5,5.3,0.0,0.0,11.5,10.0,1.0,1.0,0.0,0.099,0.2,0.0,0.005,0.02,0.042,0.036,0.072,0.1,0.056,0.0,0.0,0.9,0.071,20.0,0.061,0.8,11.8,0.2,28.1,75.3,0.021,0.2,39.8,99.5,0.5,True,Other,5.0,10.0,37.599505
peanut butter,88,7.4,1.4,3.1,1.7,3.6,1.0,3.3,0.9,0.0,0.085,0.2,0.0,0.0,0.081,0.063,0.0,0.041,2.0,0.2,0.078,0.0,0.0,0.9,0.0,8.1,0.079,0.3,26.9,0.2,50.3,88.8,0.044,15.268,94.20000000000002,7.0454545454545645,True,Other,16.5,9.0,52.549575
peanut spread,101,8.5,1.6,4.2,2.5,2.2,0.5,3.8,1.2,0.0,0.028,0.3,0.0,0.091,0.079,0.0,0.025,2.5,0.2,0.049,0.0,0.0,1.2,0.046,11.2,0.1,0.4,25.4,0.3,54.3,126.8,0.078,0.5,27.3,100.5,0.49504950495049505,True,Other,19.0,12.0,53.299859999999995
chicken spread,88,9.8,1.8,2.7,1.3,2.3,0.3,10.1,0.2,31.4,0.4,32.1,0.076,0.06,0.048,0.064,0.003,1.5,0.2,0.016,0.0,0.0,0.0,0.0,9.0,0.049,0.5,6.7,0.083,49.8,59.4,0.029,0.6,31.972,137.8,56.5909090909091,False,Poultry,50.5,2.0,60.147999999999996
tahini,86,7.2,1.0,2.7,3.2,3.9,0.0,2.7,1.4,0.0,0.098,0.5,0.0,0.2,0.034,0.0,0.086,0.9,0.1,0.036,0.0,0.0,0.0,0.0,63.0,0.2,0.4,14.4,0.2,112.8,62.1,0.0,0.7,78.6,91.19999999999999,6.0465116279069635,True,Other,13.5,14.0,53.84951
orange marmalade,49,0.0,0.0,0.0,0.0,13.3,12.0,0.014,0.1,0.0,0.016,6.6,0.0,0.098,0.06,0.0,0.075,0.065,0.028,0.046,1.0,0.0,0.089,0.0,7.6,0.076,0.053,0.4,0.055,0.8,7.4,0.057,0.046,22.119,53.256,8.685714285714285,True,Other,0.07,1.0,50.22092000000001
american cheese spread,46,3.4,2.1,1.0,0.062,1.4,1.2,2.6,0.0,8.8,0.3,7.6,0.043,0.012,0.066,0.022,0.076,0.089,0.1,0.086,0.0,0.014,0.022,0.046,89.9,0.061,0.079,4.6,0.062,140.0,38.7,0.052,0.4,97.357,46.599999999999994,1.304347826086944,True,Cheese,13.0,0.0,47.5985
apricot jam,48,0.01,0.042,0.0,0.0,12.9,8.7,0.1,0.044,0.0,0.004,6.9,0.0,0.0,0.017,0.0,0.053,0.096,0.087,0.068,1.8,0.0,0.048,0.0,4.0,0.07,0.066,0.8,0.099,0.6,15.4,0.009,0.062,18.91,52.09,8.52083333333334,True,Other,0.5,0.43999999999999995,50.11198
chunky peanut butter,94,8.0,1.2,3.7,2.2,3.5,1.3,3.8,1.3,0.0,0.03,0.2,0.0,0.018,0.094,0.0,0.013,2.2,0.2,0.072,0.0,0.0,1.0,0.016,7.2,0.002,0.3,25.6,0.3,51.0,119.2,0.045,0.4,24.1,101.2,7.6595744680851094,True,Other,19.0,13.0,54.699850000000005
ham and cheese spread,37,2.8,1.3,1.1,0.2,0.3,0.0,2.4,0.0,9.2,0.2,8.9,0.03,0.0,0.094,0.035,0.066,0.3,0.098,0.041,0.0,0.0,0.0,0.0,32.6,0.087,0.1,2.7,0.063,74.3,24.3,0.065,0.3,38.238,36.0,2.7027027027027026,True,Cheese,12.0,0.0,49.699
chicken and rice casserole homade,27,1.0,0.0,0.0,0.0,2.4,0.0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,26.6,1.481481481481476,True,Poultry,10.0,3.0,53.6
picnic loaf,65,4.7,1.7,2.2,0.5,1.3,0.0,4.2,0.0,10.6,0.3,16.9,0.0,0.1,0.005,0.004,0.01,0.6,0.2,0.083,0.0,0.025,0.0,0.0,13.2,0.078,0.3,4.2,0.094,35.0,74.8,0.025,0.6,23.7,64.30000000000001,1.0769230769230593,True,Other,21.0,0.0,51.1985
chinese egg roll,223,10.6,1.9,2.7,5.0,24.3,0.0,7.4,2.3,14.2,0.4,45.0,0.0,0.1,0.0,0.079,0.001,2.4,0.3,0.1,0.0,0.0,0.0,0.066,35.6,0.1,1.3,16.0,0.2,75.7,146.9,0.0,0.6,81.5,222.2,0.35874439461883917,True,Eggs,37.0,23.0,59.998000000000005
butter croissant,231,12.0,6.6,3.1,0.6,26.1,6.4,4.7,1.5,38.2,0.2,13.2,0.1,0.2,0.021,0.092,0.1,1.2,0.5,0.095,0.1,0.0,0.5,0.022,21.1,0.07,1.2,9.1,0.2,59.9,67.3,0.054,0.4,66.8,231.2,0.08658008658008166,True,Bakery,23.5,15.0,40.249
biscuit with egg cheese bacon,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,62.3,0.1,0.4,0.097,0.067,0.4,3.4,1.1,0.2,0.0,0.095,1.5,0.098,149.4,0.4,2.3,21.8,0.2,526.4,190.0,0.087,1.6,230.2,438.9,0.6651376146788939,True,Cheese,87.0,3.0,51.194
bagel with ham egg cheese,483,18.5,7.9,5.7,3.3,52.4,7.0,26.7,0.4,242.6,1.3,88.7,0.2,0.7,0.1,0.048,0.6,6.0,1.4,0.1,0.0,0.001,1.2,0.018,185.3,0.4,4.1,40.1,0.4,397.3,261.7,0.098,2.4,287.6,482.9,0.020703933747416716,True,Cheese,100.0,4.0,57.093500000000006
quesadilla with chicken,529,27.5,11.1,6.8,7.4,43.3,3.4,27.1,3.1,66.6,1.3,76.7,0.1,0.4,0.073,0.012,0.3,7.6,0.0,0.1,0.2,0.1,0.5,0.03,484.2,0.1,3.2,45.0,0.5,563.4,329.4,0.025,2.6,588.7,529.1,0.01890359168242396,True,Poultry,100.0,31.0,56.1935
corn rice,110,0.3,0.02,0.0,0.1,25.2,3.0,1.8,0.4,0.0,0.2,1.1,0.2,1.8,0.0,0.0,1.1,8.6,0.007,1.7,11.2,0.0,0.035,0.0,2.9,0.013,9.9,5.5,0.2,22.3,30.5,0.043,2.2,51.9,110.7,0.636363636363639,True,Other,9.0,4.0,53.439
beef empanada,298,16.3,4.6,6.3,3.8,27.8,1.6,10.1,1.8,23.1,0.4,33.4,0.0,0.2,0.0,0.094,0.2,4.2,0.4,0.1,0.0,0.0,0.6,0.072,17.8,0.051,2.4,18.7,0.2,91.7,169.1,0.037,1.7,76.2,298.3,0.10067114093960113,True,Beef,50.5,18.0,54.94800000000001
burrito with beef,285,8.1,1.7,1.7,4.0,43.9,4.1,9.1,4.4,2.6,0.5,65.8,0.036,0.036,0.4,0.2,0.023,0.2,3.2,1.8,0.1,0.4,0.0,0.5,0.042,67.1,0.2,3.2,40.0,0.5,150.9,270.9,0.002,65.89,284.9,0.03508771929825359,True,Beef,45.5,44.0,67.3475
crispy chicken sandwich,350,17.6,3.3,4.0,8.4,33.2,3.9,14.8,0.0,0.0,0.7,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,0.09,1.9,25.2,0.3,229.3,233.1,0.0,0.7,114.1,350.4,0.11428571428570779,True,Poultry,74.0,0.0,62.296499999999995
enchilada with cheese,374,25.3,11.5,6.4,3.8,21.2,3.6,15.4,2.6,57.5,0.7,71.8,0.7,0.3,0.081,0.073,0.036,0.3,0.9,1.3,0.2,0.8,0.0,1.8,0.0,430.2,0.2,0.9,39.7,0.2,367.2,191.8,0.03,65.6,374.1,0.02673796791444458,True,Cheese,77.0,26.0,48.296499999999995
pork egg roll,189,6.1,1.3,2.0,2.1,25.1,4.5,8.4,1.8,11.9,0.3,43.6,0.0,0.2,0.019,0.071,0.023,1.9,0.4,0.1,24.9,0.085,0.2,0.064,28.9,0.024,1.3,17.0,0.3,77.4,180.2,0.071,0.8,96.5,188.9,0.0529100529100499,True,Pork,42.0,18.0,62.298500000000004
pancakes with butter syrup,260,7.0,2.9,2.6,1.0,45.4,0.0,4.1,0.0,29.0,0.6,57.7,0.015,0.2,0.082,0.046,0.3,1.7,0.3,0.051,1.7,0.0,0.7,0.0,63.8,0.073,1.3,24.4,0.2,237.8,125.3,0.075,0.5,123.319,261.0,0.38461538461538464,True,Other,20.5,0.0,47.447
burrito with beans,224,6.7,3.4,2.4,0.6,35.7,0.0,7.0,0.0,2.2,0.5,57.0,0.0,0.3,0.067,0.093,0.3,2.0,1.0,0.2,1.0,0.0,0.0,0.0,56.4,0.2,2.3,43.4,0.4,48.8,326.6,0.024,0.8,109.1,231.10000000000002,3.1696428571428674,True,Legumes,35.0,0.0,50.2975
scrambled eggs,100,7.6,2.9,2.8,0.9,1.0,0.8,6.5,0.0,200.2,0.1,31.3,0.066,0.066,0.045,0.041,0.2,0.095,0.4,0.076,1.6,0.086,0.5,0.001,26.8,0.093,1.2,6.6,0.066,113.7,69.1,0.012,0.8,44.726,98.39999999999999,1.6000000000000083,True,Eggs,32.5,0.0,51.0495
chicken egg roll,158,3.6,0.8,1.1,1.5,22.8,4.5,8.4,1.9,11.2,0.4,43.3,0.085,0.2,0.013,0.019,0.1,2.9,0.5,0.2,9.0,0.0,0.3,0.072,37.6,0.056,1.4,24.0,0.3,94.4,224.8,0.032,0.4,84.75,157.20000000000002,0.5063291139240398,True,Poultry,42.0,19.0,63.998000000000005
vegetable egg roll,153,3.6,0.6,1.0,1.7,25.0,5.3,5.2,2.2,0.0,0.4,42.5,0.0,0.2,0.04,0.014,0.1,1.6,0.3,0.1,10.7,0.0,0.4,0.099,35.9,0.082,1.5,20.3,0.4,64.7,195.0,0.005,0.4,84.1,153.2,0.13071895424835858,True,Eggs,26.0,22.0,60.397999999999996
ham cheese roll,67,5.2,2.0,2.4,0.6,1.1,0.0,3.8,0.0,16.2,0.3,16.9,0.0,0.2,0.004,0.008,0.033,1.0,0.1,0.019,0.0,0.061,0.037,0.0,16.2,0.078,0.3,4.5,0.0,70.8,82.3,0.018,0.6,26.6,66.4,0.8955223880596931,True,Cheese,19.0,0.0,49.6985
biscuit with ham,386,18.4,11.4,4.8,1.0,43.8,2.2,13.4,0.8,24.9,1.1,32.1,0.05,0.5,0.003,0.0,0.3,3.5,0.4,0.1,0.1,0.08,1.4,0.089,160.5,0.054,2.7,22.6,0.4,553.7,196.6,0.011,1.6,239.732,394.4,2.1761658031088023,True,Pork,67.0,8.0,41.694500000000005
croissant with egg cheese,368,24.7,14.1,7.5,1.4,24.3,0.0,12.8,0.0,215.9,0.6,57.7,0.0,0.2,0.096,0.043,0.4,1.5,1.1,0.1,0.1,0.0,0.0,0.0,243.8,0.077,2.2,21.6,0.2,348.0,174.0,0.065,1.8,307.9,370.7,0.73369565217391,True,Cheese,64.0,0.0,39.197
sweet sour pork,38,2.2,0.4,0.5,1.0,3.3,1.4,1.2,0.1,3.4,0.003,7.1,0.003,0.073,0.0,0.002,0.053,0.3,0.086,0.003,0.3,0.0,0.1,0.058,6.4,0.024,0.4,1.8,0.054,18.6,21.3,0.053,0.1,13.977,37.8,0.5263157894736916,True,Pork,6.0,1.0,50.799985
crab cake,160,10.4,2.2,4.3,3.1,5.1,0.0,11.3,0.2,82.2,0.5,32.0,0.062,0.039,0.07,0.019,0.016,1.2,0.3,0.1,0.2,0.0,0.0,0.0,202.2,0.4,1.1,25.2,0.3,226.8,162.0,0.029,2.1,230.596,159.2,0.5000000000000071,True,Other,56.5,2.0,60.7475
egg dinner roll,107,2.2,0.6,1.0,0.4,18.2,1.5,3.3,1.3,17.5,0.2,10.6,0.051,0.2,0.096,0.06,0.2,1.2,0.2,0.065,0.0,0.0,0.1,0.082,20.7,0.04,1.2,8.8,0.2,35.4,36.4,0.066,0.4,46.913,105.8,1.1214953271028065,True,Eggs,16.5,13.0,55.749
english muffin with egg cheese sausage,472,29.9,11.4,11.2,4.6,28.8,2.5,22.1,0.3,269.0,0.8,80.6,0.1,0.6,0.001,0.093,0.4,5.3,1.8,0.1,0.0,0.063,1.6,0.051,277.2,0.3,4.3,28.1,0.3,297.0,242.6,0.064,1.7,362.7,472.7,0.14830508474576032,True,Cheese,100.0,3.0,50.596000000000004
